date,Avg_Passengers,Avg_Distance,Avg_Fare,Avg_Extra,Avg_MTA_tax,Avg_Tip,Avg_Tolls,Avg_Surcharge,Avg_Total,Avg_Duration,Total_Trips,maximum temperature,minimum temperature,average temperature,precipitation,Rain,Snow_fall,Snow_depth,Day_of_Week,Day_of_Month,Week,Month,Weekday,Has_Snow,Has_Rain
2016-03-09,1.3402421730118905,3.260436347769172,13.72047289189484,0.41281226137231375,0.49560270535616885,2.992644812915894,0.1884586015053998,0.2974473655503436,18.10743863859496,0.33752052955650097,18334,77,44,60.5,0,0,0,0,4,3,10,3,TRUE,FALSE,FALSE
2016-03-10,1.3445440220602718,3.324519893637975,13.792168111089225,0.42249359858183966,0.49561749064408117,3.038442978136695,0.19948197754579475,0.2975329919243648,18.245737147922,0.32626572998052217,20307.999999999996,79,63,71,0,0,0,0,5,3,10,3,TRUE,FALSE,FALSE
2016-03-12,1.3850901858583087,3.4704450997873946,13.874112200809272,0.2442390782525204,0.495987929497291,2.993702420958782,0.16119882038268982,0.297777930183115,18.06701838008367,0.34819886419922425,29162.000000000004,59,40,49.5,0,0,0,0,7,3,11,3,FALSE,FALSE,FALSE
2016-03-15,1.327989923856415,3.175569359363371,13.344230262781245,0.3945726226598729,0.49504780443121316,2.9412406251789087,0.16721016774489036,0.2971317341272113,17.63943321692334,0.35700726131180704,17467,57,44,50.5,0,0,0,0,3,3,11,3,TRUE,FALSE,FALSE
2016-03-16,1.3342444559051057,3.1987065497679215,13.497381124290872,0.4214801444043321,0.49528107271789584,2.943882929345023,0.17438628158844766,0.29724600309437854,17.82965755544095,0.35419454472523065,19390,65,48,56.5,0.02,0.02,0,0,4,3,11,3,TRUE,FALSE,TRUE
2016-03-18,1.3480465502909393,3.2325054031587697,13.647551122194514,0.43173316708229426,0.4953865336658354,3.0157477140482127,0.16278345802161262,0.29731920199501244,18.05052119700748,0.3658905283088575,24060,57,42,49.5,0,0,0,0,6,3,12,3,TRUE,FALSE,FALSE
2016-03-19,1.3822656222055298,3.3506202382229855,13.493377687162427,0.2506885574274779,0.49645884751582786,2.9870104088421505,0.14163644167829165,0.2979718853954287,17.667143828021604,0.3554923930798488,27957,46,36,41,0,0,0,0,7,3,12,3,FALSE,FALSE,FALSE
2016-03-20,1.3981815967853228,3.3956155376060395,13.383944067865405,0.23765068798960914,0.49525104517595486,2.944792791330113,0.13183626253196412,0.29718715752729635,17.490662012420344,0.3310541507127942,24637,43,32,37.5,0.08,0.07,0.01,0,1,3,12,3,FALSE,TRUE,TRUE
2016-03-21,1.3461993843239404,3.1879469571394745,12.960464717025811,0.39696305943641963,0.49567842765806297,2.859102533743784,0.17685946009945536,0.2974248164811745,17.186493014444707,0.30413412331938855,16892,50,32,41,0.56,0.06,0.5,0.01,2,3,12,3,TRUE,TRUE,TRUE
2016-03-22,1.3278244527968164,3.15561795268627,13.308101370771611,0.4001492372319257,0.4957439752376741,2.9349447269511386,0.1596611762104798,0.29754587663055493,17.596146363033384,0.3315702612572776,18092,56,35,45.5,0,0,0,0,3,3,12,3,TRUE,FALSE,FALSE
2016-03-23,1.3284466961302146,3.2020222054543495,13.401677266357659,0.4020426862132155,0.4955804678236499,2.944443785706586,0.17832327260967987,0.2975099708957637,17.719577449606554,0.35425510222413853,18554,71,48,59.5,0,0,0,0,4,3,12,3,TRUE,FALSE,FALSE
2016-03-24,1.3271032393381497,3.2709247261710557,13.815064553717082,0.42948030762060124,0.4961547424842694,2.9752342111395946,0.18144068981589373,0.2977347937543696,18.19510929853181,0.36004501670162353,21455,55,44,49.5,0,0,0,0,5,3,12,3,TRUE,FALSE,FALSE
2016-03-25,1.3620463093026418,3.3329534641352123,13.4406225927772,0.4401422810276859,0.49626172459105533,2.9954796320630748,0.16767365988490643,0.2978657845847116,17.838045674928633,0.3218861046918503,22069.000000000004,72,44,58,0.04,0.04,0,0,6,3,13,3,TRUE,FALSE,TRUE
2016-03-29,1.340476711130549,3.085370107150667,13.022373168598294,0.41083533785261317,0.49584517821998686,2.880047015088563,0.16990104963918654,0.29765471244259784,17.27665646184124,0.3360460553490293,18292,53,40,46.5,0,0,0,0,3,3,13,3,TRUE,FALSE,FALSE
2016-03-30,1.3347714432460196,3.143034411915768,13.25420390344119,0.41908063687724706,0.496045197740113,2.9061376476630714,0.1689049820236261,0.29781201848998456,17.542184386235235,0.3307701021514581,19470,56,37,46.5,0,0,0,0,4,3,13,3,TRUE,FALSE,FALSE
2016-04-01,1.3494707544384936,3.2668797705899717,13.81657445283178,0.44462952810694556,0.49531902332054145,3.0185619702273017,0.17713870029097964,0.29735588074052205,18.24957955551807,0.35922693599853806,23713,79,61,70,0.02,0.02,0,0,6,4,14,4,TRUE,FALSE,TRUE
2016-04-02,1.3976841889537863,3.3093954298596167,13.448392253304641,0.25019639990436177,0.4961232366704239,2.8754110735389555,0.15368343751067393,0.29759196638999896,17.521398367319055,0.37501372901746916,29277,61,49,55,0.16,0.16,0,0,7,4,14,4,FALSE,FALSE,TRUE
2016-04-04,1.362108952223883,3.0313822604751843,12.9474060712261,0.4055558418801216,0.49569654177189093,2.8352955728495592,0.18102716074833788,0.29747977116940677,17.162460959645415,0.3377481002365041,19403,45,29,37,0.48,0.47,0.01,0,2,4,14,4,TRUE,TRUE,TRUE
2016-04-05,1.3521230951324161,3.1181969719386498,13.664743305222666,0.41988459831336,0.49561079055087043,3.0080130196774673,0.1613251467179563,0.29749963012279923,18.047076490605118,0.3694120048440214,20276.999999999996,43,26,34.5,0,0,0,0,3,4,14,4,TRUE,FALSE,FALSE
2016-04-06,1.3548840477863668,3.100122477662885,13.370834755546632,0.41988756148981027,0.4950306194157213,2.9161976709165747,0.1678049392631262,0.2972291938560385,17.66913813874109,0.3298889558165735,19922,48,30,39,0,0,0,0,4,4,14,4,TRUE,FALSE,FALSE
2016-04-08,1.3524375743162902,3.2548913991280224,13.863989298454221,0.43670233848592943,0.4955608402695204,3.0018779231074117,0.17310265556876733,0.2975148632580262,18.268747919143877,0.36176658079006474,25230.000000000004,50,40,45,0.01,0.01,0,0,6,4,15,4,TRUE,FALSE,TRUE
2016-04-09,1.403603890926487,3.2419891564343803,13.148885664168395,0.24055174613299316,0.4965236804337426,2.828435018338383,0.1318424493701164,0.2979716153723489,17.144210173815978,0.33444585304488034,31355,43,36,39.5,0.12,0.11,0.01,0,7,4,15,4,FALSE,TRUE,TRUE
2016-04-10,1.3822985362715137,3.5447583239504583,13.971519623612675,0.24042946758886924,0.4961999356602863,2.987147337944346,0.1440139938877272,0.2977320250924883,18.137042383786394,0.3568888397404965,24868.000000000004,50,31,40.5,0,0,0,0,1,4,15,4,FALSE,FALSE,FALSE
2016-04-12,1.343293037005754,3.0943139946154252,13.345767301905717,0.3938394129757694,0.4965686533284063,2.9191152404582166,0.16934857203188514,0.29802037692023436,17.622659557620228,0.34474691618715797,18943.000000000004,59,45,52,0.2,0.2,0,0,3,4,15,4,TRUE,FALSE,TRUE
2016-04-13,1.357270819470748,3.132466089983109,13.443689921687055,0.4146235348313457,0.4956492808517173,2.918888263295286,0.164209960587603,0.2974202794697241,17.734481240722733,0.33674215022208576,19537,58,40,49,0,0,0,0,4,4,15,4,TRUE,FALSE,FALSE
2016-04-14,1.3448709587254262,3.189829497810491,13.556376129693469,0.42441535451411533,0.49604024969719557,2.960679679493152,0.18019379483834902,0.2978058324792695,17.91551104071555,0.3541958083584376,21466,62,43,52.5,0,0,0,0,5,4,15,4,TRUE,FALSE,FALSE
2016-04-15,1.3513076518856866,3.238661627389951,13.806137273131492,0.43738631310885645,0.49587695541452764,3.0085941226403654,0.1686539472088605,0.2977323254779902,18.214380936982092,0.35101379513229225,24739,65,42,53.5,0,0,0,0,6,4,16,4,TRUE,FALSE,FALSE
2016-04-16,1.394691078518227,3.3888939200052497,13.84195918233422,0.2501230436066542,0.49606260458706564,2.9629943892115365,0.15928044098828625,0.2978541194999508,18.008273780227714,0.3574955795445017,30477,68,43,55.5,0,0,0,0,7,4,16,4,FALSE,FALSE,FALSE
2016-04-18,1.3416720370261879,3.4492372136621947,14.150456382916397,0.3980315191282442,0.4951959693010721,3.06394164860273,0.2221793895365868,0.29741636885582046,18.62722127834085,0.33015819777244,17069,82,51,66.5,0,0,0,0,2,4,16,4,TRUE,FALSE,FALSE
2016-04-19,1.3405278461194363,3.1719671214493403,13.622404383806755,0.40306978304629837,0.4954708118989041,2.9591165287407737,0.1717490494296578,0.2973831357638112,17.9491936926862,0.34328218581475684,17884,73,55,64,0,0,0,0,3,4,16,4,TRUE,FALSE,FALSE
2016-04-20,1.3391984359726294,3.1643643566393993,13.585535833719195,0.4171682872871328,0.4955497247517621,2.9862782322374852,0.1688362401605186,0.29737613829294646,17.95074445644904,0.3362926806262969,19437,69,49,59,0,0,0,0,4,4,16,4,TRUE,FALSE,FALSE
